a 一
alna 两便
alnl 两侧
alnnm 两败俱伤
alno 两份
alnp 再版
alns 两倍
alnx 𩀝
alo 丙
alob 再会
alod 丙 𠆴 𡗚
alog 𪥐
alok 𠛥 𩇽
alol 𧶪
aloo 两 兩
alot 𪋘
alou 㶮
alov 两个
aloy 㔝 邴
aloyh 两岸人民
aloz 𠚇 𡠈
alptk 一瞬间
alqa 丙肝
alqb 两脚
alqng 一帆风顺
alrd 𠀑
alrf 两条
alrtv 可见度
alrz 䴓 鳾 
alsfq 天赐良机
alsl 两端
alsr 𧘴 𧛦
alss 再议
alsu 两旁
alsv 再说
alsy 丙方
altg 两头 两广
altk 两间 𠠫
altl 䚕 𧢮
altm 𣰿
altp 彲
altr 两次 再次 鸝 𪈹
altv 再度
altw 邐
alty 酈 𨟫
alub 两半
aluf 两米
alug 丙类
alum 两性
aluo 𤆱
aluug 天网恢恢
aluux 一睹为快
aluw 丙烷
alvb 丽江
alvbv 一败涂地
alve 两湖
alvn 两淮
alw 迊
alwk 再审
alwm 再造
alwu 两道
alwy 两边
alwz 𢙂
alxm 𤯳
alxn 两难
alxs 𠀽 𢂤
alxy 𨜦
aly 𨙶
alyad 无助于
alyrg 一目了然
alyw 两院
alyy 两翼 𦑅
alzch 副县长
alzej 一见如故
alzlb 两眼发黑
alzm 𡛎
alzo 丙纶
alzr 再婚
alzy 两级
alzz 再出
am 严重
amaaa 无敌于天下
amadq 天气形势
amajr 无利可图
amakh 无私无畏
amatv 一年一度
amb 𤘔
ambau 一千五百米
ambby 一等功
ambfw 平等互惠
ambjj 一等品
ambmk 平等互利
ambtr 一等奖
ambwd 政策规定
amc 𤯔
amcel 无私奉献
amcjv 一生中
amcsm 再生产
amdej 严重事故
amdmo 严重损失
amdof 一笔抹杀
ameel 亚穆苏克罗
amega 歌舞厅
amejd 歌舞团
amemw 瓦利斯和富图纳
ameuf 一千米
amexe 一筹莫展 歌舞剧
amfod 百年树人
amfqs 丁氰橡胶
amfum 政策性
amgbg 严重破坏
amgdg 一毛不拔
amggg 百看不厌
amgoc 残缺不全
amgse 百年大计
amgwk 百年不遇
amhtg 一年到头
amhve 天鹅湖
amhzh 天鹅绒
amjch 副委员长
amjhv 一气呵成
amjum 可靠性
amkjn 严重影响
amkmk 顶刮刮
amkum 严重性
amljj 再制品 豆制品
amlmy 一年四季
amlwa 一笑置之
ammau 歌舞升平
ammcq 万年青
ammeq 更年期
ammzy 一年级
amnbk 与生俱来
amnsa 可靠保证
amnwi 万籁俱寂
amnzz 开篇伊始
amoba 可靠人士
ampkf 严重后果
ampsj 严重错误
amram 一年比一年
amrbk 一年多来
amrd 𠀡
amrpk 一笔勾销
amrwc 严重危害
amspe 政策方针
amsrx 平等竞争
amtch 副科长
amueh 一年半载
amugd 亚特兰大
amurl 一知半解
amvbo 政策法规
amvvw 死气沉沉
amwai 一气之下
amwfq 可乘之机
amwpa 百年之后
amwsu 无稽之谈
amwwb 两手空空
amwyk 可乘之隙
amwzy 百年之好
amxch 副秘书长
amxdy 天气预报
amxlb 一箭双雕
amyam 一物降一物
amytv 一季度
amzar 一系列
amzmc 丁种维生素
an 百
anaej 平白无故
anag 夏天
anaj 𠷡
anamj 无依无靠
anan 皕 𢌽 𤾩
anang 百依百顺
anatj 更何况
anay 百万
anaz 𡕵
anbk 𠞐
and 丌 卅
andj 百事
andly 无偿援助
anek 夏朝
anemz 干什么
anff 𤾓
anfii 无休止
anfnr 一体化
anfpv 干休所
angfu 百货大楼
anghn 无伤大雅
angn 奡
ango 𩓑
angp 𢒣
angy 𠢘
anhb 夏至
anhcr 副代表
anhh 𪭫
anhhe 开倒车
anhm 戛 𢦫
anhod 一代人
anhx 丣
anix 𠮕 𣦞
anjy 夏邑
ank 百
anka 夏日 百日
ankb 百里
ankd 㓦
ankgi 一息尚存
ankr 𡕾
ankrf 开白条
ankvm 百川归海
anl 𦣻
anlz 夏县
anmgc 两件套
anmj 夏种 𪡰
anmlv 副作用
anmm 百年 𤾋
anmt 百科
anmwe 副伤寒
anmxe 恶作剧
anmy 夏季
annbb 无息贷款
anne 𢍳
annr 百货 𡕻 𡖃
anns 百倍 𣁨
anogl 哥伦布
anom 百余
anos 𠀼
anow 夏令
anoy 百分 𠢊 𠢨 𪟌
anoya 百货公司
anpq 百般
anq 𣍣
anr 夏
anrak 哥伦比亚
anrb 𡔀
anrd 𩑋
anrm 𢥙
anrq 𠙩
anrr 㱊 𣣺 𪄂
anrs 夏
anrti 百货店
anru 𥻴
anrw 𢟜
anry 百色 鄾 𠢊
ansby 百货商场
anse 百计
ansg 𩕙
ansj 百部
ansod 一代新人
ansow 殡仪馆
ansti 百货商店
anstv 可信度
ansuz 一位数
ansyd 开信刀
antb 夏装
ante 㪶
anuf 百米
anus 夏粮
anvr 百兆
anw 憂
anwg 百家
anwh 戞
anwka 一代宗师
anwoa 天作之合
anwr 憂
anwrk 天伦之乐
anww 㥑
anwwc 无价之宝
anwz 𢙯 𢚧
anxb 𢥀
anxl 𥁶
anxrj 平假名
anxw 𢞘
anyr 𡕿
anys 㼣
anz 𦣽
anzi 𠚑
anzm 夏收 百姓
anzy 𠨦
anzz 百出
ao 丈
aoaen 百合花
aoaov 一个一个
aoauq 一往无前
aoawz 万众一心
aoaz 𠀒
aob 𡉊
aobbm 与会者
aobch 副会长
aobjc 与会国
aobo 丈夫
aobr 𪂐
aobrd 一会儿
aod 𠆣
aodho 无人区
aodym 残余势力
aoenj 哥德堡
aoepv 死得其所
aoeug 两全其美
aoezy 下个世纪
aofyb 一刹那
aoghb 无微不至
aogkh 无人不晓
aogld 与众不同
aogmj 无人不知
aognu 天公不作美
aogqm 无往不胜
aogzj 严惩不怠
aoium 可行性
aoix 𣀑
aoizh 平行线
aoje 𢍦
aojo 𠀮
aok 𣅆
aoka 丈量
aokb 𨤻
aokeq 下个星期
aokns 顶得住
aokz 𡐜
aol 爾
aolb 𡔈
aold 𠀹
aolwa 平行四边形
aomay 正人先正己
aomja 平行符号
aomkh 无人知晓
aomry 平分秋色
aomtv 下个季度
aomx 𠭕
aoncr 与会代表
aongu 万念俱灰
aonug 天公作美
aooae 政企分开
aoob 壐
aooc 璽
aoog 𠁊
aooi 蠒
aool 覼
aoon 𩁖
aooo 爾
aoop 𨮪
aoor 鸍
aoos 𫂞
aoow 邇 𢣭 𪓿
aoq 𣍡
aorbb 一会儿工夫
aorcr 平衡表
aorfa 平衡木
aos 丈 𠀋
aosby 无从说起
aosgn 平行六面体
aosky 两个文明建设
aosna 与人方便
aosoq 画饼充饥
aosxg 开创新局面
aosy 𣃙
aotvx 无人问津
aoubd 一分为二
aouuu 与人为善
aouvw 一往情深
aovfu 一个样
aovkv 一个是
aovov 一个个
aovqv 下个月
aovv 𠔀
aowan 百分之百
aowch 副馆长
aowew 夏令营
aowmf 万全之策
aowtj 无人过问
aowub 一念之差
aoxao 一个又一个
aoxjj 副食品
aoxrd 一个劲儿
aoxti 副食店
aoxya 正人君子
aoyan 百分百
aoycr 百分表
aoyij 百分点
aoyml 百分制
aoyph 一分钱
aoyrr 百分比
aoysv 百分率
aoyuv 可分为
aoyuz 百分数
aoyvb 两分法
aoywa 百分之
aoyxy 无人驾驶飞机
aozkb 万公里
aozu 𤇟
aozvm 一贫如洗
aozwx 融会贯通
ap 一般
apagb 万般无奈
apape 一错再错
apasg 正反两方面
apatl 开后门
apavk 万金油
apbfo 天翻地覆
apbsv 一般地说 一般来说
apddj 无所事事
apdkr 百般挑剔
apdsv 一般的说
apeom 平铺直叙
apevk 一盘散沙
apffx 开采权
apggq 无所不有
apggv 无所不在
apghb 无所不至
apgne 一钱不值
apgry 无所不包
apgsa 一般而言
apguv 无所不为
apgyw 无所顾忌
apkgs 一反常态
apksm 一番话
apkul 无所畏惧
aplfe 一盘棋
aplml 一针见血
aplsj 一般见识
apltr 残兵败将
aplwz 无所用心
apmnm 一般等价物
apnsm 正镶白旗
apnuv 无所作为
apppm 可锻铸铁
apqod 一般人
apqum 一般性
apsbk 一般说来
apvsk 无所谓
apwoo 无所适从
apwpr 一丘之貉
apwsk 一锤定音
apyxn 百般刁难
aq 一月
aqaf 𣑨
aqamc 更胜一筹
aqaqy 一犯再犯
aqbbo 两脚规
aqbut 下脚料
aqbyj 两脚架
aqda 𪜂
aqfqs 丁腈橡胶
aqfxk 一脉相承
aqgbv 无风不起浪
aqgnk 无独有偶
aqha 𠀣
aqlcl 开脱罪责
aqnc 𠁉
aqqd 𠘲
aqskm 天狼星
aqvno 一月份
aqxqx 恶狠狠
aqymy 一肚子气
aqys 𪜃
ar 死
arad 死于 𣦿
arae 死刑
araf 𣧣
araj 㱦 𣧤
arak 𣩪
aral 㱮 殨  𪵧
aran 𣩐
arar 㱛 殡殓
arasf 万象更新
arasy 天各一方
arau 歼灭
araum 无怨无悔
araz 㱙 𣧒
arazy 更多更好
arb 殪 𣧅
arba 烈士
arbg 𣩦
arbks 天昏地暗
arbm 死者
arbr 𣣌 𣧸
arbu 殬
arbv 殓
arbw 𣩤
arbz 死去 歼击 残云 𣧁
arc 殭
arcb 𣨞
arce 𣧹
arcj 殉职
arcl 㱴
arcm 殝
arcq 㱭
arcr 列表
arcx 𣩡
arcz 残毒
ard 𢌬
ardi 死掉
ardj 残损 裂损
ardn 𣨊
ardnt 哥儿们
ardp 𣨋 𣩁
are 殖
area 殡葬
aref 𣨴
aregz 无名英雄
arej 㱠
arel 㱵 殖
areo 𤳓
arep 𣩠
arer 𣩷 𣩽
arew 𣨠
arex 列支 𣨲
arfb 𣨈
arfd 𣩘
arfgm 一条龙
arfj 殐
arfl 㱫 𣨁 𣩼
arfm 残酷
arfnm 无条件
arfob 一条街
arfp 㱤 死板
arfq 死机
arfwz 一条心
arga 死硬
argd 𣧂
argff 天然林
argi 残存
argl 𣧦
argmy 天然气
argo 䪲
argp 𣨹
argr 𣧗
argry 天然色
args 殠
argv 列在
argx 残破
argy 𣧼
arh 残 殘
arha 𣧵
arhb 殌 𣨂
arhe 列车
arhh 殘
arhi 𣧒
arhk 㱪
arhl 𥂫
arhm 残 𣧌
arhs 𣧆
arhx 𣨇
arhz 𣧡
ariad 正处于
arich 副外长
arii 㱜 𣧐 𧒈
arij 𣩚
arim 𣧨
arix 𣧏
arj 殒 殞
arja 裂口 𣨤
arjc 殉国 殣
arjdr 无名指
arjj 残品 𣩛
arjk 𣨣
arjl 残喘 殒 殞 𣩅
arjm 𩎳
arjn 𣨕
arjnr 形象化
arjo 𣧝
arjr 死路 殑
arjs 㱸
arjsm 一句话
arju 㱯 殪 𣩟
arjx 𣨨
arjy 𣨉
arjzh 两条路线
ark 列
arka 殱 殲 烈日 𣩶 𩐁
arkc 𩢾
arkd 列
arke 残暴 殚 殫
arkf 𣨪 𣩓
arkg 殧 𣩎
arkh 㱬
arki 䶛 𧊿
arkk 㽝 殭 𣩒 𣩢
arkl 㡂 㱺 殟 殯 𥁟 𥅮
arkm 𣨾 𥞥
arkn 𨾸
arko 殥 𣧴
arkp 銐
arkr 䴕 鮤 鴷  𣨵 𣩜 𣩹 𫛙
arks 𣧖 𣨃
arku 烈 烮 𣩫
arkw 㤠 死党 迾
arkx 𩧮
arky 劽
arkz 姴 殗
arl 殃
arlc 殂
arld 𣧺
arle 𣧱
arlfy 正负极
arlg 殃 𣨽
arli 𢁳
arlj 𣨱
arlk 死罪 𣩮
arll 殰 𣧈 𣩥 𣩬
arlm 残败 𣧨
arln 𣩑
arlo 𣧍 𣧰 𪵨
arlr 𪵦
arls 残骸
arluw 裂解炉
arlw 𢤔 𣨺
arlx 𠭿
arm 歼 殊
armb 𣧘 𣨮
armbn 天然气井
armc 殅
armd 𣧙
arme 歼 残缺 𢍗
armf 𣩊
armg 殀 𣨘
armh 𣧃
armi 㱹 𣧫 𣨐 𣩋
armj 𣨓
armk 殊
arml 殈
armm 死敌
armo 𣧞
armr 㱡 死物
arms 𣧉
armu 𣧯
armz 𣨒 𣨙 𦁘
arne 残值
arnf 㱷
arnfr 可比价格
arni 𣨫
arnj 㱱
arnm 死伤
arnn 𣨔
arnpn 无条件反射
arnr 裂化 𣨆 𣨜
arnsm 哥儿们义气
aro 殓 殲
aroa 死命
arob 歹徒 𣨎
arod 列入 𣦹
aroe 𣨛
aroed 百儿八十
arof 残杀
arog 𣪀
arok 𣧠
arol 㱲
arom 残余
aroo 殎 殮 𣧻
arop 殄 𣩍
aror 㱥
aros 𣧧
arot 𣨝
arox 飱
aroy 𣨳
aroya 可疑分子
aroz 𣧑 𪵤
arpa 死后
arpd 歽 𣧭 𣨅
arpl 𣨡
arpo 列兵 殡 餮
arpx 𣧶
arpy 殍
arpz 㱣
arq 㱚 殁
arqbj 两条腿走路
arqd 𣦽
arqf 𣧷
arqq 𣨥
arqx 殁
arr 死
arrb 㘸
arrc 𨱼
arrd 𣩗
arre 𢍈
arrf 𣑘
arrj 𣧬 𣧳
arrk 殉 殙 𣍌 𣧿 𣨸 𣩳
arrl 裂解 𣨍 𣪁 𧵲 𪵩
arrna 正比例
arro 歾 殤 𣧋 𣨟
arrr 㰷 死
arrs 残留 𣧀 𣧇
arrt 𣧩
arrum 可比性
arry 㱝 㱧 𪵢
arrz 殦 𣧔
ars 歹 𣨌
arsh 死亡
arsi 𪚗
arsj 残部 殕 𠞺
arsk 歹意
arso 𣩆
arsr 裂
arsu 㱞
arsx 㱢 裂变
arte 列席
artg 㱩
artm 残疾
artr 𣣌 𣧸
artv 烈度
artx 裂痕 𣩏
artz 残废
aru 烈
arub 𣩈 𣩲
aruc 𦍙
aruf 𣧲
aruj 𣩧
arum 烈性
aruo 烈火 𣧛
arup 㱶
arupv 一鳞半爪
aruq 㱻
aruu 残羹 𣨬
aruv 列为
arva 列举
arvbr 万多元
arvdv 更多的
arvf 残渣
arvjh 百多吨
arvm 死活
arvs 殏
arvut 天然染料
arw 殡 殯
arwa 列宁
arwae 正多边形
arwc 残害
arwd 㱨 死守
arwf 𣨿
arwi 𣨭
arwjr 两条道路
arwk 死神 𣧢
arwkh 无名之辈
arwl 殢 𣨩 𣨼 𣩀
arws 㱰 残迹
arwy 𣨭
arwz 死心
arxa 死屍 殛
arxb 肂
arxe 𣧊
arxf 𣩝
arxg 𣧎
arxi 㱟
arxk 殔
arxl 𢄉 𣩵
arxm 死尸 𢱵 𣩌
arxn 死难 殉难
arxo 䬸 𣧾
arxq 𣩞
arxs 殆尽
arxu 殩 𥹏
arxy 残局 𣩃
arxzv 一触即发
ary 殛 𨚌
aryh 殖民 𣧟
aryi 𣧜
aryj 列强
aryk 裂隙
arym 殃及 𠡀 𣦺
aryn 𣩰
aryo 列队 殇
arys 残忍 残障
aryw 㤪
arywy 政务官
aryx 歿
aryy 𣧓
arz 殆 𩾏
arzf 殜 𣨚 𣩣 𣩨
arzg 𣨶
arzj 殆
arzl 𣧽 𣩄 𣩔 𣩱
arzn 𣩿
arzq 𣨧
arzr 𪵥
arzs 裂纹
arzu 𣩙 𣩯
arzw 裂缝
arzx 𪵣
arzy 𣧥
arzz 列出 𣦾 𣧪 𣨢
as 干部
asaej 无亲无故
asaer 可亲可敬
asamf 干部政策 开放政策
asaoi 一言一行
asasm 无计可施
asayb 一望无际
asazw 天衣无缝
asbau 天诛地灭
asbhb 天旋地转
asbho 开放地区
asbse 与市场调节相结合
asbsl 开放城市
ascby 天主教
ascnm 副主任
ascte 副主席
asdku 正义事业
asdnh 更新换代
asdvm 开放搞活
asdzr 严词拒绝
asekv 一衣带水
asewa 可读写
asflr 开诚相见
asgey 开斋节
asgga 可望而不可即 可望而不可及
asggg 百读不厌
asgoz 开诚布公
asgse 万变不离其宗
asgtr 死记硬背
asguf 平方厘米
asgxo 一方有难八方支援
asgzv 一言不发
ashsv 死亡率
asiba 干部战士
asich 副站长
asjch 副部长
asjdv 更高的
asjku 再就业
asjnm 恶语中伤
asjoy 一部分
askjr 开放电路
asksj 下意识 无意识
asktk 无意间
askwj 可变电容器
aslch 副市长
aslzn 夏商周断代工程
asmbm 无产者
asmho 开放区
asmjj 副产品
asmpa 一诺千金
asmtv 干部制度
asmum 开放性
asnhe 开夜车
asnhk 副主任医师
asnmr 夏熟作物
asnqo 干部作风
asnry 天高任鸟飞
asoem 无效分蘖
asoha 正义感
asokb 平方公里
asokv 无论是
asovw 天文学
asoxs 平方公尺
asoya 正离子
asozj 天文台
asrdf 无记名投票
asrwh 更衣室
assby 再立新功
asssf 天方夜谭
asswp 天文望远镜
assyw 下议院
astfa 可变资本
asuwd 一言为定
asvsv 死说活说
aswgx 一语道破
aswjv 无意之中
aswtk 一夜之间
asxmo 无言对答
asxwk 副译审
asxxs 一言难尽
asyae 正方形
asyeq 妻离子散
asyfx 平方根
asygj 一方面 两方面
asynf 正方体
asyoi 一意孤行
asyuf 平方米
asyzy 无产阶级
aszew 一言以蔽之
aszna 无论如何
aszxv 无言以对
at 政府
ataga 平庸无奇
atbfa 平装本
atbnd 政府工作报告
atbnm 政府工作
atbsj 武装部
atesm 一席话
atffr 政府机构
atfkv 一头雾水
atfug 政府机关
atgby 一病不起
atgug 百问不烦
atgza 百闻不如一见
atigz 一决雌雄
atiya 顶头上司
atkjt 两头小中间大
atlbj 开门见喜
atlko 开阔眼界
atlll 开门见山
atlzb 开门红
atmev 干净利落
atmod 残疾人
atncj 政府代表团
atnoc 一应俱全
atnpy 豆腐乳
atnva 百废俱兴
atnvf 豆腐渣
atnxi 豆腐皮
atoco 残疾人联合会
atonx 武装入侵
atoss 列席会议
atova 百废待举 百废待兴
atrai 天底下
atrpj 平底锅
atrum 一次性
atrvl 无底洞
atrwr 融资额
atsmj 一次方程
atstl 政府部门
atsyo 武装部队
attrx 武装斗争
attwg 武装冲突
atuqs 政府首脑
atuue 平底烧瓶
atvbv 开阔地
atvss 更应该
atwbv 一席之地
atwjc 天府之国
atwjl 政府官员
atwkw 一门心思
atwod 残废军人
atxat 一次又一次
atxwz 下决心
atyka 武装力量
atyvw 开门办学
au 下半年
aua 平
auabz 无懈可击
auag 平顶 灭顶
auah 平武
auai 𢆊
auaiw 无忧无虑
auajx 可惊可叹
auamk 更为严重
auanf 融为一体
auau 平平
aub 𡊞
aubby 下半场
aubk 平坦
aubkd 下半时
aubmk 副总工程师
aubmm 下半年
aubr 平均
aubs 平壤
aubsh 开卷考试
aubsn 下半夜
aubt 平塘
aubv 平地
aubx 平声
aucq 平静
aucz 平素
audjn 一炮打响
audpf 无精打彩
aued 𠦓
auej 灭菌
auel 平南 平直
aufe 平槽
aufj 平整
aufp 平板
augj 平面
augl 平布
augmm 开怀大笑
augn 平原
augo 平仄 𩑳
augq 𧰬
augxy 无关大局
auhpl 百炼成钢
auiwg 下情上达
auja 灭口
aujbe 干燥塔
aujck 副总理
aujes 副总裁
aujfq 干燥机
aujjj 干燥器
aujl 平喘
aujmf 干燥箱
aujsn 干燥剂
aujue 无烟煤
aujy 平邑
aujzs 副总统
auka 平日
aukd 平时
aukfv 无关紧要
aukk 平昌 𣸞
aukor 开怀畅饮
aukw 平常
aukz 𪪚
aulep 烈火见真金
aull 平山
aulr 平罗
aumar 无性生殖
aumb 平等
aumc 平生
aumfv 更为重要
aumj 平和
aumk 平利 平复
aumr 平移 平稳
aumvk 干性油
aunad 无愧于
aund 平川
aung 平顺
aunh 平舆
aunk 平泉
auno 平价
auns 平信
aunw 平息
auo 灭
auocg 恶性循环
auofz 丙烯酸
auoi 平行
auoia 可怜虫
auojj 灭火器
auoo 平谷
auor 平衡
auoy 平分
aupx 平反 𢆕
auqd 平凡
auqqc 恶性膨胀
auqso 无性杂交
auqtr 恶性肿瘤
aurck 一并处理
aurk 平乐
aurl 平角
aurs 𡕢
aurum 可燃性
aush 灭亡
ausl 平调
ausrk 干燥设备
ausw 𪪙
ausy 平方
autb 平装
autg 平头
auts 平凉
auttu 无关痛痒
autv 平度
autx 平庸
auuez 无烟火药
auuf 平米
auuo 灭火
auuw 平炉
auva 平添
auvb 平江
auve 平湖
auvf 平潭
auvl 平滑
auvu 平淡
auvv 㝳
auwb 平远
auwd 平定
auwjv 百忙之中
auwl 平视 𢂇
auwnm 恶性案件
auwp 平遥
auwpl 平炉钢
auws 平房 𪪜
auwur 无米之炊
auwx 平通
auwz 平安
auxak 亚美尼亚
auxdv 更快的
auxhe 开快车
auxw 𪪛
auxy 平局
auy 𠀭
auyb 平陆
auyh 平民
auyk 平阳
auyq 平阴
auys 㼞
auzck 副总经理
auzh 平绒 𢆮
auzj 平台
auzp 平缓
auzr 灭绝
auzs 平纹
auzum 可塑性
auzy 平级
auzz 平乡
av 天津 天津市
avaag 无法无天
avabz 一举一动
avadj 无济于事
avag 一天
avai 一下
avaj 一副
avakv 一潭死水
aval 一再
avaok 一举两得
avar 一列
avav 一一
avay 一万
avbaa 一波未平一波又起
avbb 一封
avbd 一二
avbff 一清二楚
avbg 一项
avbk 一来
avbn 一堆
avbnm 政治工作
avbx 一块
avby 一场 一起
avbz 一动
avcdp 一波三折
avcy 一帮
avdj 一事
avdk 一排
avdr 一批
avds 一寸
avdx 一摊
avdy 一把 一挺
aved 一十
avel 一直
aven 一截
aveo 一共
aveq 一期
aveso 政治协商会议
avevs 开源节流
avew 一带
avey 一节
avfa 一本
avfb 一票
avfg 一杯
avfh 一栋
avfj 一束
avfk 一棵
avfm 一枚 一株
avfmk 政治权利
avfs 一霎
avft 一桩
avfu 一样
avfx 一根 一概
avgc 一套
avgj 一面
avgla 政治面目
avgo 一页
avgs 一磅
avgw 一碗
avha 一辆
avhm 一致
avho 一轮
avhrj 一举成名
avhy 一切
avij 一点
avik 一桌 一步
avir 一些
avja 一口
avjb 一味
avjd 一团
avjfb 一举中标
avjh 一吨
avjj 一回
avjl 一员
avjo 一只
avjr 一路
avjzh 政治路线
avka 一旦
avkcr 干湿表
avkd 一时
avke 一早
avkf 一颗
avkfl 政治思想
avkk 一曲
avkl 一瞥
avkmf 副油箱
avkv 一是
avlai 干涉内政
avlb 一睹
avld 一同
avlk 一则
avlo 一具
avlp 一瞬
avlqq 平滑肌
avlx 一眼
avmb 一等
avmc 一生
avmd 一手
avme 一千
avmj 一种
avmk 一篮
avmkb 一泻千里
avmm 一年
avmrd 干活儿
avms 一簇
avmw 一篇
avmy 一气
avmyx 夏洛特阿马利亚
avna 一例
avnc 一段
avnd 𠀦
avnf 一体
avnh 一代
avnj 一向
avnl 一侧
avnm 一件
avnml 政治体制
avnmy 政治体制改革
avno 一份
avns 一位
avnu 一伙
avnx 一片
avoem 残渣余孽
avoi 一行
avov 一个
avow 一令
avox 一律
avoy 一分
avpk 一番
avpn 一艘
avpq 一般
avqf 一朵
avqq 一册 一股
avqv 一月
avqw 一腔
avrdz 无法比拟
avrf 一条
avri 一处
avrj 一句
avrl 一角
avrok 一举多得
avruj 一溜烟
avry 一色
avsb 一语
avsf 一新
avsj 一部
avsk 一亩 一课
avsl 一端
avsn 一夜 一齐
avso 一文
avsu 一旁
avsxb 平流层
avsy 一方
avsz 一刻
avtf 一床
avtg 一头
avtl 一门
avto 一座
avtr 一次
avtv 一度
avub 一半
avue 一并
avuf 一米
avug 一类
avuk 一单
avun 一首
avus 一炷
avva 一举
avvc 一汪
avvp 一派
avvrl 天涯海角
avvs 一流
avwb 一宗
avwd 一定
avwg 一家
avwh 一连
avwj 一窝
avwjy 天渊之别
avwkv 无源之水
avwu 一道
avwum 可溶性
avww 一遍
avwy 一边
avwz 一心
avxb 一层
avxgj 政治局面
avxj 一群
avxkm 政治局常委
avxmj 政治局委员
avxsl 天津市 武汉市
avxv 一对
avxx 一双
avxy 一局
avyc 一张
avyee 政治改革
avyfs 顶梁柱
avyh 一阵
avyse 政治阴谋
avzh 一线
avziv 政治上
avzj 一台
avzl 一贯
avzqy 政治犯
avzr 一绝
avzsj 政治部
avzu 一缕
avzvs 政治经济
avzvv 政治经济学
avzwg 政治家
avzxk 亚洲纪录
avzxy 政治局
avzy 一级
aw 一定
awadj 平安无事
awagl 无定形碳
awaik 更进一步
awakx 无家可归
awanh 无官一身轻
awarm 形迹可疑
awask 一心一意
awawx 一通百通
awaxs 无穷无尽
awayb 无边无际
awbbv 死心塌地
awbch 副社长
awbfd 亚运村
awbko 一家老小
awbnk 一穷二白
awbob 亚运会
awcmy 平心静气
awcnr 无害化
awdfv 一定要
awdkv 一定是
awdob 一定会
awfey 列宁格勒
awffs 形容枯槁
awgeb 于心不甘
awgod 一家人
awgso 平心而论
awgwx 一窍不通
awgya 一家子
awhjj 一连串
awhxm 烈军属
awjir 一窝蜂
awksm 可视电话
awkso 开宗明义 无神论
awlja 开户账号
awljr 顶视图
awlkx 殊途同归
awlnb 一视同仁
awlum 可视性
awm 𢨥
awmoi 开户行
awmrj 开户名
awmsr 开襟毛衣
awosy 形容词
awowj 天灾人祸
awpoi 开户银行
awptv 可逆反应
awqag 一连几天
awqma 顶礼膜拜
awrd 𠑺
awrjr 百家争鸣
awroo 正襟危坐
awrtr 晋察冀
awsti 瓦房店
awswm 无房户
awttb 天安门广场
awtwz 下定决心
awuum 可逆性
awvqo 两袖清风
awvv 辷
awwbo 一定之规
awwfx 形近字根
awwl 𢄀
awxya 天之骄子
awygd 无穷大
awyjr 丁字路
awyko 无穷小
awynh 一边倒
awyob 丁字街
awywx 百褶裙
awyxs 丁字尺
awzrj 一定能够
awzsn 平安夜
awztl 天安门
awzvm 囊空如洗
awzwm 两审终审制
ax 开展
axaha 下马威
axand 一马平川
axbnm 开展工作
axej 𫆐
axeji 干劲十足
axf 𣏲
axfqo 死皮赖脸
axfri 严肃查处
axgg 𧰳
axgkr 更属不易
axgqu 万马奔腾
axhi 𨳇
axii 疌
axim 𣮌
axj 𠰶
axkfq 无刷电机
axkmr 一马当先
axkry 开展业务
axkvx 死马当活马医
axm 戸
axmg 𧰳
axmtg 百尺竿头
axnbm 死难者
axnum 严肃性
axol 𧵹
axowb 天马行空
axrck 严肃处理
axrd 妻儿
axsjs 万马齐喑
axssn 一昼夜
axtag 干劲冲天
axumz 干群关系
axvav 一对一
axvtg 死对头
axwym 一臂之力
axya 妻子
axych 副局长
axys 㼮
axysy 副书记
axyva 亚马孙河
axz 妻
axzm 妻
axzn 𨿩
axzr 鶈
axzy 郪
ay 万
ayach 副司长
ayak 万恶
ayaod 于己于人
ayauf 开司米
ayav 万一
ayay 万万
ayazu 一刀两断
aybll 武陵山
aybr 万元
aybu 万幸
ayda 𠀂
aydhy 一刀切
aydj 万事
ayead 无异于
ayeh 万载
ayfej 瓦加杜古
aygod 无孔不入
ayha 万辆
ayhbv 殖民地
ayhya 一阵子
ayi 虿
ayiyi 干巴巴
ayjh 万吨
ayji 趸
aykb 万里
aykzh 正弦曲线
ayll 万山
aylr 万岁
aylv 万用
aylz 万县
aym 万
ayme 万千
aymr 万物
aymto 百孔千疮
aynh 万代
ayoc 万全
ayod 万人
ayojl 副司令员
ayom 万余
ayon 𤽩
ayoo 𪜈
ayori 严加惩处
ayov 万个
ayoy 万分
ayrg 万顷
ayrj 万象
aysbo 正弦规
aysvx 正弦波
aytl 𫕱
ayuf 万米
ayvg 万源
ayvv 𪜁
ayw 迈
aywa 万宁
aywch 副院长
aywg 万家
aywm 万户
ayxeq 无限期
ayxgd 无限大
ayxl 𥅐
ayxml 无限制
ayxn 万难
ayyc 万张
ayyi 𧊪
ayym 劢
ayyr 万隆
ayzl 万贯
ayzob 严阵以待
ayzq 万能
az 与
aza 与
azae 𢌱
azaej 无缘无故
azag 𤮠
azajv 百发百中
azal 𪠟
azam 𢪓 𢮠
azamj 夏收夏种
azan 瓸
azar 欤
azasj 一丝一毫
azaw 𢗓
azax 𤬯 𤬻
azaz 𡴃
azbi 瓦工
azbkk 再结晶
azbn 𤮟
azbso 下结论 天经地义
azci 𦤳
azck 𦓩
azec 与其
azeo 与共
